Structure: Image,SMILES,Substance Identification: Reaxys Registry Number,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight,Type of Substance,Type and Modification,InChI Key,Composition: Comp. Name,Composition: Comp. Conc.,Composition: Comp. Attrib.,Field Availability,Number of Reactions,Number of References,Melting Point: Melting Point [C],Solvent (Melting Point),Location,Comment (Melting Point),Crystallizes With,Amount (Melting Point) [mol],References,Links to Reaxys.1
,CC1=CCC(=O)O1,108394.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D108394&database=RX&origin=ReaxysOutput&ln=,(2643 of 4000),591-12-8,5-methyl-2-furanone; α-Angelica lactone; 5-methyl-2(3H)-furanone; 5-methylfuran-2(3H)-one; angelica lactone; alpha-angelicalactone; 5-methyl-3H-furan-2-one,C(CH3)CHCH2C(O)O,C5H6O2,98.1014,heterocyclic,,QOTQFLOTGBBMEX-UHFFFAOYSA-N,,,,Identification(248); Physical Data(49); Spectra(35); Bioactivity(31),1526.0,518.0,18 - 18.5,,,,,,"Article; Schulte et al.; Archiv der Pharmazie; vol. 291; (1958); p. 227,236;; ; Article; Wolff; Justus Liebigs Annalen der Chemie; vol. 229; (1885); p. 266 Anm.; Justus Liebigs Annalen der Chemie; vol. 264; (1891); p. 233 Anm.;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D519856&database=RX&origin=ReaxysOutput&ln=
,O=C1CCCC1=O,1099106.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1099106&database=RX&origin=ReaxysOutput&ln=,(2644 of 4000),3008-40-0,"cyclopentane-1,2-dione; 1,2-cyclopentanedione; 1,2-cyclopentadione",C5H6O2,C5H6O2,98.1014,isocyclic,,CIISBNCSMVCNIP-UHFFFAOYSA-N,,,,Identification(536); Physical Data(22); Spectra(21),347.0,639.0,49 - 51,,,,,,"Article; Ferraz, Helena M. C.; Sasahara, Regina M.; Losco, Pellegrino; Tetrahedron Letters; vol. 33; 52; (1992); p. 8131 - 8132;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5757368&database=RX&origin=ReaxysOutput&ln=
,O=C1CCC(=O)C1,1362728.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1362728&database=RX&origin=ReaxysOutput&ln=,(2645 of 4000),3859-41-4,"1,3-cyclopentadione; cyclopentane-1,3-dione; 1,3-cyclopentanedione; 1,3-cyclopentandione; cyclopenta-1,3-dione; cyclopentan-1,3-dione",C5H6O2,C5H6O2,98.1014,isocyclic,,LOGSONSNCYTHPS-UHFFFAOYSA-N,,,,Identification(303); Physical Data(33); Spectra(27); Bioactivity(57),2892.0,929.0,148,,,,,,"Article; Vankar, Yashwant D.; Chaudhuri, Narayan C.; Rao, C. Trinadha; Tetrahedron Letters; vol. 28; 5; (1987); p. 551 - 554;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5620558&database=RX&origin=ReaxysOutput&ln=
,OC(=O)\C=C/C=C,1720082.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1720082&database=RX&origin=ReaxysOutput&ln=,(2646 of 4000),29739-67-1,"(Z)-penta-2,4-dienoic acid; (Z)-2,4-pentadienoic acid; cis-Butadien-(1,3)-carbonsaeure-(1); penta-2c,4-dienoic acid; Penta-2c,4-diensaeure",C5H6O2,C5H6O2,98.1014,acyclic,,SDVVLIIVFBKBMG-ARJAWSKDSA-N,,,,Identification(11); Physical Data(4); Spectra(6),6.0,5.0,64,,,,,,"Article; Abarbri, Mohamed; Parrain, Jean-Luc; Cintrat, Jean-Christophe; Duchene, Alain; Synthesis; 1; (1996); p. 82 - 86;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D6008408&database=RX&origin=ReaxysOutput&ln=
,OC(=O)\C=C\C=C,1720083.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1720083&database=RX&origin=ReaxysOutput&ln=,(2647 of 4000),21651-12-7,"(E)-2,4-pentadienoic acid; trans-2,4-pentadienoic acid; (E)-penta-2,4-dienoic acid; 2,4-pentadienoic acid; pentadienoic acid; (2E)-penta-2,4-dienoic acid",C5H6O2,C5H6O2,98.1014,acyclic,,SDVVLIIVFBKBMG-ONEGZZNKSA-N,,,,Identification(70); Physical Data(16); Spectra(16); Bioactivity(9),339.0,148.0,69 - 71,,supporting information,,,,"Article; Wimmer, Laurin; Schönbauer, David; Pakfeifer, Peter; Schöffmann, Angela; Khom, Sophia; Hering, Steffen; Mihovilovic, Marko D.; Organic and Biomolecular Chemistry; vol. 13; 4; (2015); p. 990 - 994;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D66674327&database=RX&origin=ReaxysOutput&ln=
,OC(=O)C=CC=C,1739248.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1739248&database=RX&origin=ReaxysOutput&ln=,(2648 of 4000),626-99-3,"1,3-butadiene-1-carboxylic acid",HOOCCHCHCHCH2,C5H6O2,98.1014,acyclic,,SDVVLIIVFBKBMG-UHFFFAOYSA-N,,,,Identification(29); Physical Data(22); Spectra(12),151.0,94.0,71 - 72,,,,,,"Article; Idoux; Ghane; Journal of Chemical and Engineering Data; vol. 24; (1979); p. 157,158;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3985647&database=RX&origin=ReaxysOutput&ln=
,CC=C=CC(O)=O,1741630.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1741630&database=RX&origin=ReaxysOutput&ln=,(2649 of 4000),64788-20-1,"γ-Methylallencarbonsaeure; Pentadien-(2,3)-saeure; penta-2,3-dienoic acid; Penta-2,3-diensaeure",C5H6O2,C5H6O2,98.1014,acyclic,,MGYLSOGBKPCZJD-UHFFFAOYSA-N,,,,Identification(12); Physical Data(5); Spectra(4),10.0,9.0,36 - 39,,,,,,"Article; Bushby,R.J.; Whitham,G.H.; Journal of the Chemical Society B: Physical Organic; (1969); p. 67 - 73;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D258434&database=RX&origin=ReaxysOutput&ln=
,OC(=O)CCC#C,1742047.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1742047&database=RX&origin=ReaxysOutput&ln=,(2650 of 4000),6089-09-4,4-pentynoic acid; pent-4-ynoic acid; pentynoic acid; propargyl acetic acid,CHCCH2CH2COOH,C5H6O2,98.1014,acyclic,,MLBYLEUJXUBIJJ-UHFFFAOYSA-N,,,,Identification(369); Physical Data(38); Spectra(38); Bioactivity(71),3254.0,1268.0,55.9 - 57,Petroleum ether; ethyl acetate,supporting information,,,,"Article; Jiang, Xingguo; Zhang, Jiasheng; Ma, Shengming; Journal of the American Chemical Society; vol. 138; 27; (2016); p. 8344 - 8347;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D69292477&database=RX&origin=ReaxysOutput&ln=
,CCC#CC(O)=O,1742967.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1742967&database=RX&origin=ReaxysOutput&ln=,(2651 of 4000),5963-77-9,pent-2-ynoic acid; 2-pentynoic acid; pentynoic acid; 2-butynoic acid,C5H6O2,C5H6O2,98.1014,acyclic,,MINRDQDGBLQBGD-UHFFFAOYSA-N,,,,Identification(59); Physical Data(8); Spectra(5); Bioactivity(9),313.0,162.0,107 - 109,,,,,,"Article; Scott et al.; Bioorganic Chemistry; vol. 1; (1971); p. 380,385;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4504887&database=RX&origin=ReaxysOutput&ln=
,COC(=O)C=C=C,1743148.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1743148&database=RX&origin=ReaxysOutput&ln=,(2652 of 4000),18913-35-4,"methyl buta-2,3-dienoate; methyl 2,3-butadienoate; methyl allenoate",CH2CCHC(O)OCH3,C5H6O2,98.1014,acyclic,,CYKLAQPZTQQBJU-UHFFFAOYSA-N,,,,Identification(37); Physical Data(23); Spectra(27),409.0,137.0,-23,,,,,,"Article; Drysdale et al.; Journal of the American Chemical Society; vol. 81; (1959); p. 4908,4911;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D627045&database=RX&origin=ReaxysOutput&ln=
,CC#CCC(O)=O,1743210.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1743210&database=RX&origin=ReaxysOutput&ln=,(2653 of 4000),36781-65-4,pent-3-ynoic acid; 3-Pentynoic acid,C5H6O2,C5H6O2,98.1014,acyclic,,NIZKVZYBUGUDTI-UHFFFAOYSA-N,,,,Identification(19); Physical Data(14); Spectra(14); Bioactivity(13),127.0,48.0,78 - 82,chloroform,supporting information,,,,"Article; Conde, Nerea; SanMartin, Raul; Herrero, María Teresa; Domínguez, Esther; Advanced Synthesis and Catalysis; vol. 358; 20; (2016); p. 3283 - 3292;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D69782746&database=RX&origin=ReaxysOutput&ln=
,CC(=C=C)C(O)=O,1743264.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1743264&database=RX&origin=ReaxysOutput&ln=,(2654 of 4000),18913-36-5,"2-methyl-butadienoic acid; 2-Methyl-2,3-butadiensaeure; 2-Methyl-buta-2,3-diensaeure; 2-methylbuta-2,3-dienoic acid; 2-methyl-2,3-butadienoic acid; 1-Methyl-allen-carbonsaeure",C5H6O2,C5H6O2,98.1014,acyclic,,ODIOGEASODHQKG-UHFFFAOYSA-N,,,,Identification(23); Physical Data(9); Spectra(12),185.0,25.0,73 - 75,diethyl ether,supporting information,,,,"Article; Chen, Weiqiang; Walker, Johannes C. L.; Oestreich, Martin; Journal of the American Chemical Society; vol. 141; 2; (2019); p. 1135 - 1140;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D75754665&database=RX&origin=ReaxysOutput&ln=
,OC(=O)CC=C=C,1744696.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1744696&database=RX&origin=ReaxysOutput&ln=,(2655 of 4000),60053-24-9,"penta-3,4-dienoic acid; Penta-3,4-diensaeure",C5H6O2,C5H6O2,98.1014,acyclic,,RBKUOYDGUJCKSK-UHFFFAOYSA-N,,,,Identification(14); Physical Data(6); Spectra(10),46.0,12.0,1.5,,,,,,"Article; Crowley,K.J.; Journal of the American Chemical Society; vol. 85; (1963); p. 1210;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D52562&database=RX&origin=ReaxysOutput&ln=
,C=COC(=O)C=C,1901512.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1901512&database=RX&origin=ReaxysOutput&ln=,(2656 of 4000),2177-18-6,vinyl acrylate,H2CCHOCOCHCH2,C5H6O2,98.1014,acyclic,,BLCTWBJQROOONQ-UHFFFAOYSA-N,,,,Identification(103); Physical Data(11); Spectra(5),85.0,158.0,92 - 94,,,,,,Patent; DOW INC; US3153074; (1961); A; Chem.Abstr.; vol. 61; 16093d; (1964); Chem.Abstr.; vol. 61; 16093d; (1964);,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4799554&database=RX&origin=ReaxysOutput&ln=
,CC1C(=O)CC1=O,1925070.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1925070&database=RX&origin=ReaxysOutput&ln=,(2657 of 4000),15506-54-4,"2-Methyl-cyclobutandion-(1,3); 2-Methylcyclobutan-1,3-dion",C5H6O2,C5H6O2,98.1014,isocyclic,,MCLLPCXNDGZJCL-UHFFFAOYSA-N,,,,Identification(6); Physical Data(2); Spectra(3),2.0,2.0,119,ethyl acetate; petroleum ether,,,,,"Article; Jones; Kriegler; Australian Journal of Chemistry; vol. 17; (1964); p. 765,768;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4721461&database=RX&origin=ReaxysOutput&ln=
,OC1=CCCC1=O,1925246.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1925246&database=RX&origin=ReaxysOutput&ln=,(2658 of 4000),10493-98-8,2-hydroxy-2-cyclopenten-1-one; 2-hydroxycyclopent-2-en-1-one; 2-hydroxycyclopent-2-enone; 4RS-hydroxy-cyclopent-2-enone,C5H6O2,C5H6O2,98.1014,isocyclic,,WOPKYMRPOKFYNI-UHFFFAOYSA-N,,,,Identification(272); Physical Data(22); Spectra(15),184.0,304.0,48 - 52,CCl4,,,,,"Article; Quast, Helmut; Roeschert, Horst; Peters, Eva-Maria; Peters, Karl; Schnering, Hans Georg von; Chemische Berichte; vol. 122; (1989); p. 523 - 532;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5835493&database=RX&origin=ReaxysOutput&ln=
,OC1=CC(=O)CC1,2038897.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2038897&database=RX&origin=ReaxysOutput&ln=,(2659 of 4000),5870-62-2,"3-hydroxy-2-cyclopenten-1-one; 3-hydroxycyclopent-2-enone; cyclopentane-1,3-dione; cyclopentenolone; 3-hydroxycyclopentenone",C5H6O2,C5H6O2,98.1014,isocyclic,,GGWUYXFIBJPQCE-UHFFFAOYSA-N,,,,Identification(25); Physical Data(5); Spectra(15); Bioactivity(4),198.0,62.0,152,ethyl acetate,,,,,"Article; Lick,C.; Schank,K.; Chemische Berichte; vol. 111; (1978); p. 2461 - 2464;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D43785&database=RX&origin=ReaxysOutput&ln=
,CC1=CC1C(O)=O,2429060.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2429060&database=RX&origin=ReaxysOutput&ln=,(2660 of 4000),39492-17-6,2-methylcycloprop-2-enecarboxylic acid; 2-methylcycloprop-2-ene-1-carboxylic acid,C5H6O2,C5H6O2,98.1014,isocyclic,,RONDSBCNTXHHBV-UHFFFAOYSA-N,,,,Identification(14); Physical Data(1); Spectra(9); Bioactivity(1),36.0,15.0,42.5 - 43,,,,,,"Article; Nefedov et al.; Angewandte Chemie; vol. 84; (1972); p. 946;; ; Article; Dolgii et al.; Bulletin of the Academy of Sciences of the USSR Division of Chemical Science; vol. 28; (1979); p. 765,766,767,770; Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya; vol. 28; (1979); p. 822;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D2926781&database=RX&origin=ReaxysOutput&ln=
,OC(=O)C12CC1C2,2430852.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2430852&database=RX&origin=ReaxysOutput&ln=,(2661 of 4000),30493-99-3,"Bicyclo<1,1,0>butan-1-carboxylsaeure; Bicyclobutan-1-carbonsaeure",C5H6O2,C5H6O2,98.1014,isocyclic,,BIBDVCLDAHAABR-UHFFFAOYSA-N,,,,Identification(6); Physical Data(1); Spectra(2),2.0,2.0,51,pentane,,,,,"Article; Hall,H.K. et al.; Journal of the American Chemical Society; vol. 93; (1971); p. 121 - 130;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D62713&database=RX&origin=ReaxysOutput&ln=
,OC(=O)C1=CCC1,2636728.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2636728&database=RX&origin=ReaxysOutput&ln=,(2662 of 4000),23519-90-6,1-cyclobutenecarboxylic acid; cyclobutene-1-carboxylic acid; cyclobut-1-enecarboxylic acid; 1-cyclobutene-1-carboxylic acid; cyclobutenecarboxylic acid; cyclobut-1-ene-1-carboxylic acid,C5H6O2,C5H6O2,98.1014,isocyclic,,CXUKMALSQXRODE-UHFFFAOYSA-N,,,,Identification(84); Physical Data(8); Spectra(14),229.0,109.0,67,,,,,,"Article; Normant,H.; Maitte,P.; Bulletin de la Societe Chimique de France; (1960); p. 1424 - 1428;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D115528&database=RX&origin=ReaxysOutput&ln=
,CC1=COCC1=O,4366520.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4366520&database=RX&origin=ReaxysOutput&ln=,(2663 of 4000),80037-10-1,5-methyl-3(2H)-furanone,C5H6O2,C5H6O2,98.1014,heterocyclic,,HYTQAYNEIKEQGR-UHFFFAOYSA-N,,,,Identification(7); Physical Data(2); Spectra(4),2.0,2.0,39 - 43,,,,,,"Article; Meister, Ch.; Scharf, H.-D.; Synthesis; 9; (1981); p. 737 - 739;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5573124&database=RX&origin=ReaxysOutput&ln=
,O=CC1=COCC1,4955953.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4955953&database=RX&origin=ReaxysOutput&ln=,(2664 of 4000),117632-28-7,"4,5-dihydrofuran-3-carbaldehyde; 3-formyl-4,5-dihydrofuran",C5H6O2,C5H6O2,98.1014,heterocyclic,,KGQQYFHAJQGVSX-UHFFFAOYSA-N,,,,Identification(7); Physical Data(1); Spectra(5),5.0,2.0,49 - 51,,,,,,"Article; Vader, Jan; Koopmans, Rimco; Groot, Aede De; Veldhuizen, Albertus van; Kerk, Sies van der; Tetrahedron; vol. 44; 9; (1988); p. 2663 - 2674;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5604414&database=RX&origin=ReaxysOutput&ln=
,OC(=O)C=C1CC1,8613901.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D8613901&database=RX&origin=ReaxysOutput&ln=,(2665 of 4000),5687-73-0,cyclopropylideneacetic acid; 2-cyclopropylideneacetic acid,C5H6O2,C5H6O2,98.1014,isocyclic,,BUTJLJIPWQEYOC-UHFFFAOYSA-N,,,,Identification(9); Physical Data(1); Spectra(4),30.0,9.0,59 - 60,,,,,,"Article; Kuethe, Jeffrey T.; Zhao, Dalian; Humphrey, Guy R.; Journet, Michel; McKeown, Arlene E.; Journal of Organic Chemistry; vol. 71; 5; (2006); p. 2192 - 2195;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D6541520&database=RX&origin=ReaxysOutput&ln=
,CC1(C=C1)C(O)=O,23047382.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D23047382&database=RX&origin=ReaxysOutput&ln=,(2666 of 4000),1418363-56-0,1-methylcycloprop-2-enecarboxylic acid,C5H6O2,C5H6O2,98.1014,,,FGKSCAKBLLOUMU-UHFFFAOYSA-N,,,,Identification(8); Physical Data(5); Spectra(6),11.0,7.0,83,,supporting information,,,,"Article; Xie, Xiaocong; Li, Yi; Fox, Joseph M.; Organic Letters; vol. 15; 7; (2013); p. 1500 - 1503;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D35495059&database=RX&origin=ReaxysOutput&ln=
,OCC1=CNC=N1,1852.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1852&database=RX&origin=ReaxysOutput&ln=,(2667 of 4000),822-55-9,(1H-imidazol-4-yl)methanol,C3H3N2(CH2OH),C4H6N2O,98.1044,heterocyclic,,QDYTUZCWBJRHKK-UHFFFAOYSA-N,,,,Identification(80); Physical Data(23); Spectra(10); Bioactivity(10),105.0,172.0,92 - 93,,,,,,"Article; Sawada et al.; Bulletin of Kyoto University of Education, Series B: Mathematics and Natural Science; vol. 43; (1973); p. 41,42,44,45; Chem.Abstr.; vol. 84; 17692j;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D2784597&database=RX&origin=ReaxysOutput&ln=
,O=NN1CC=CC1,106739.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D106739&database=RX&origin=ReaxysOutput&ln=,(2668 of 4000),10552-94-0,N-Nitroso-3-pyrrolin,C4H6N2O,C4H6N2O,98.1044,heterocyclic,,OKFHTQFXGQXDEX-UHFFFAOYSA-N,,,,Identification(12); Physical Data(13); Spectra(4); Bioactivity(1),3.0,10.0,32.8 - 34,hexane; CH2Cl2,,,,,Article; Ohwada; Miura; Tanaka; Sakamoto; Yamaguchi; Ikeda; Inagaki; Journal of the American Chemical Society; vol. 123; 42; (2001); p. 10164 - 10172;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D6335572&database=RX&origin=ReaxysOutput&ln=
,CC1=C(N)C=NO1,106993.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D106993&database=RX&origin=ReaxysOutput&ln=,(2669 of 4000),87988-94-1,4-amino-5-methylisoxazole; 5-methylisoxazol-4-amin,C4H6N2O,C4H6N2O,98.1044,heterocyclic,,QGMHRTDVNDXDBB-UHFFFAOYSA-N,,,,Identification(21); Physical Data(4); Spectra(2),22.0,27.0,25 - 31,,,,,,"Article; Pascual, Alfons; Helvetica Chimica Acta; vol. 72; (1989); p. 556 - 569;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5788060&database=RX&origin=ReaxysOutput&ln=
,CC1=NON=C1C,107621.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D107621&database=RX&origin=ReaxysOutput&ln=,(2670 of 4000),4975-21-7,"3,4-dimethylfurazan; dimethylfurazan; 3,4-Dimethyl-1,2,5-oxadiazol",C4H6N2O,C4H6N2O,98.1044,heterocyclic,,JKJSZGJVBAWEFB-UHFFFAOYSA-N,,,,Identification(42); Physical Data(50); Spectra(19),40.0,70.0,-7.2,,,,,,"Article; Zverev,V.V. et al.; Bulletin of the Academy of Sciences of the USSR Division of Chemical Science; vol. 27; (1978); p. 269 - 272; Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya; vol. 27; (1978); p. 313 - 317;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D239324&database=RX&origin=ReaxysOutput&ln=
,CC1=NOC=C1N,107622.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D107622&database=RX&origin=ReaxysOutput&ln=,(2671 of 4000),354795-62-3,3-methylisoxazol-4-amine,C4H6N2O,C4H6N2O,98.1044,heterocyclic,,BNOWDJRGXLVJHD-UHFFFAOYSA-N,,,,Identification(9); Physical Data(2),16.0,13.0,43,,,,,,"Article; Quilico; Musante; Gazzetta Chimica Italiana; vol. 71; (1941); p. 327,336;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D752630&database=RX&origin=ReaxysOutput&ln=
,OCC1=NC=CN1,107723.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D107723&database=RX&origin=ReaxysOutput&ln=,(2672 of 4000),3724-26-3,2-hydroxymethyl-1H-imidazole; 2-hydroxymethylimidazole; 2-Hydroxymethyl-imidazol; 1H-imidazol-2-ylmethanol,C4H6N2O,C4H6N2O,98.1044,heterocyclic,,ZOMATQMEHRJKLO-UHFFFAOYSA-N,,,,Identification(33); Physical Data(20); Spectra(19); Bioactivity(19),29.0,49.0,108 - 109,,,,,,Article; Alley; Journal of Organic Chemistry; vol. 40; (1975); p. 1837;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D2666095&database=RX&origin=ReaxysOutput&ln=
,CC1=CNNC1=O,107775.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D107775&database=RX&origin=ReaxysOutput&ln=,(2673 of 4000),3947-61-3; 145092-11-1,"4-Metyl-4-pyrazolin-3-on; 5-Methyl-5-pyrazolon; 4-Methyl-3-pyrazolon; 4-methyl-1,2-dihydro-pyrazol-3-one; 4-Methyl-1,2-dihydro-pyrazol-3-on; 2,4-dihydro-4-methyl-3H-pyrazol-3-one; 4-methyl-2-pyrazolin-5-one",C4H6N2O,C4H6N2O,98.1044,heterocyclic,,TYWCCQQJFXUKRN-UHFFFAOYSA-N,,,,Identification(9); Physical Data(5); Spectra(3),9.0,10.0,222 - 223,,,,,,Article; Kasahara; Chemistry and industry; (1976); p. 1032;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D2715614&database=RX&origin=ReaxysOutput&ln=
,OCC1=CNN=C1,107786.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D107786&database=RX&origin=ReaxysOutput&ln=,(2674 of 4000),25222-43-9,(1H-pyrazol-4-yl)methanol; 4-(hydroxymethyl)pyrazole; 4-Hydroxymethyl-pyrazol,C4H6N2O,C4H6N2O,98.1044,heterocyclic,,JRMKJOOJKCAEJK-UHFFFAOYSA-N,,,,Identification(16); Physical Data(8); Spectra(15); Bioactivity(2),22.0,34.0,125,,,,,,"Article; Veniard,L.; Pourcelot,G.; Bulletin de la Societe Chimique de France; (1973); p. 2746 - 2752;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D122101&database=RX&origin=ReaxysOutput&ln=
,CC1=NOC(N)=C1,107906.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D107906&database=RX&origin=ReaxysOutput&ln=,(2675 of 4000),14678-02-5,"5-amino-3-methylisoxazole; 3-methylisoxazol-5-amine; 3-methyl-5-aminoisoxazole; 3-methyl-1,2-oxazol-5-amine",C4H6N2O,C4H6N2O,98.1044,heterocyclic,,FNXYWHTZDAVRTB-UHFFFAOYSA-N,,,,Identification(105); Physical Data(19); Spectra(19),714.0,289.0,83 - 85,,,,,,"Article; Boggu, Pulla Reddy; Venkateswararao, Eeda; Manickam, Manoj; Sharma, Niti; Kang, Jong Seong; Jung, Sang-Hun; Bioorganic and Medicinal Chemistry; vol. 28; 22; (2020);",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D80799867&database=RX&origin=ReaxysOutput&ln=
,CC1=CC(=O)NN1,108075.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D108075&database=RX&origin=ReaxysOutput&ln=,(2676 of 4000),4344-87-0,"1,2-dihydro-5-methyl-3H-pyrazol-3-one; 3-Methyl-3-pyrazolin-5-on",NNHC(CH3)CH2C(O),C4H6N2O,98.1044,heterocyclic,,WGVHNCAJPFIFCR-UHFFFAOYSA-N,,,,Identification(52); Physical Data(34); Spectra(30),171.0,145.0,143 - 144,ethanol,,,,,"Article; Sen, Sandip; Bhaumik, Pradip; Roy, Biswabara; Easwari; Choudhury, Ratna; Mallik, Arunabha; De, Biplab; Indian Journal of Chemistry - Section B Organic and Medicinal Chemistry; vol. 55B; 4; (2016); p. 507 - 516;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D70435144&database=RX&origin=ReaxysOutput&ln=
